Name,Phone number,address
Bhairodev Food Corner,"""07947228700""","Shop No-J-33, Lajpat Nagar 2, Delhi - 110024"
Radhey Krishna Cholay Bhatu..,"""07947213993""","289, A.G.C.R Enclave, Karkardooma, Delhi - 110092, Near Easy Day"
Punjabi Angithi,"""07947219981""","Shop No, 32-22, A-4 DDA Market, Paschim Vihar, Delhi - 110063, Near Balaji Action Hospital & Saakshara Appartment"
Singlas,"""07947229511""","50 N.W.A, Club Road, Punjabi Bagh, Delhi - 110026"
The Koolcha Station,"""+(91)-11-66103632""","Shop No-12,A-4 Block DDA Gol Market, Paschim Vihar, Delhi - 110063, Near Pashim Vihar East Metro Station"
Karnataka Restaurant,"""07947214855""","60/5, Yusuf Sarai-green Park, Delhi - 110016, Opposite Gurudwara, Near Green Park Metro Station"
Apni Rasoi,"""+(91)-9152597215""","G 7/188, 16-17 Dividing Road, Rohini Sector 16, Delhi - 110089"
Apni Rasoi,"""+(91)-8860522701""","A 2 Ganesh Nagar Nr Mother Dairy, Ganesh Nagar, Delhi - 110092"
Punjabi Angithi,"""07947229699""","Shop No 31 & 32, DDA Market, Rohini, Delhi - 110085, Sector 16"
Mehak Dhaba,"""+(91)-9871211201""","Shop No G-17/18, Malik Bulcom Plaza-2, Pocket-5, Dwarka Sector 12, Delhi - 110078, Near Km Chowk"
Punjabi Angithi,"""07947229699""","Shop No 31 & 32, DDA Market, Rohini, Delhi - 110085, Sector 16"
Anand Vaishno Dhaba,"""+(91)-8586829402""","C-81/3, Main Wazirabad Road, Bhajan Pura, Delhi - 110053, Near Bhajanpura Bus Stand"
Madan Sweets & Restaurant,"""07947212173""","Third K 23, Rakesh Marg, Nehru Nagar, Delhi - 110065"
The Koolcha Station,"""+(91)-11-66103632""","Shop No-12,A-4 Block DDA Gol Market, Paschim Vihar, Delhi - 110063, Near Pashim Vihar East Metro Station"
Apni Rasoi,"""+(91)-9152597215""","G 7/188, 16-17 Dividing Road, Rohini Sector 16, Delhi - 110089"
Karnataka Restaurant,"""07947214855""","60/5, Yusuf Sarai-green Park, Delhi - 110016, Opposite Gurudwara, Near Green Park Metro Station"
Mehak Dhaba,"""+(91)-9871211201""","Shop No G-17/18, Malik Bulcom Plaza-2, Pocket-5, Dwarka Sector 12, Delhi - 110078, Near Km Chowk"
Swami Ji Shakti Sagar,"""07947219131""","Rz- 132,, Rajapuri Road, Uttam Nagar, Delhi - 110059, Near Sunil Dairy, Santosh Park"
Chacha Chaudhary Express Bu..,"""07947239344""","857 Ground Floor, Main Road, Mukherjee Nagar, Delhi - 110009, Near Munafa Mart"
The Sanjha Chulha Unique Ta..,"""07947239918""","Shop No-6 WZ-55, Jawala Heri Market, Paschim Vihar, Delhi - 110063, Near S.B.I ATM"
Taste Of Fire,"""+(91)-9540205075""","Shop No 8, Dr Mukherjee Nagar, delhi - 110009"
Happy Tummy,"""07947225912""","G-8,9,10 Plot No.1 United Plaza, Karkardooma, Delhi - 110092"
Shudh Annapurna,"""07947210255""","T-2506, Opp 7 Naiwala, Karol Bagh, Delhi - 110005, Ilahi Bux Road"
Bell Pepperz Restaurant,"""07947209793""","A 4, Community Centre, Ashok Vihar 2, Delhi - 110052, OPP Satyawati College"
Rai Singh Amritsari Kulcha,"""+(91)-7419333555""","Shop 59 & 60, B Block, MSP Mall, Dsidc, Narela Industrial Area, Delhi - 110040"
Oh My Gopala,"""+(91)-11-40198324""","G-9, Marina Arcade , Outer Circle, Connaught Place, Delhi - 110001, Near Radison Blu,"
Gyano Express,"""07947233405""","Shop Number 190, Devli Road, Khanpur, Delhi - 110062, Infront Of Khazani Education Society"
Raj Take Away & Family Rest..,"""07947227437""","Shop No 1, Main Matiala Road, Matiala, Delhi - 110059, Near Hari Krishna Grand Banquet"
Mela Restaurant & Bar-Vikas..,"""07947215955""","G-6, Community Center, Vikaspuri, Delhi - 110018, PVR Cinema"
Punjabi Angithi,"""07947230664""","B20, Metro Station, Sector 16, Sector 16 , Noida, Noida - 201301, Near Sector 16"
New Sanjhi Rasoi,"""07947212811""","Shop No-23, Palam Dabri Road, Mahavir Enclave, Delhi - 110045, Chaudhary Harphool Singh Market"
Shudh Annapurna,"""07947210255""","T-2506, Opp 7 Naiwala, Karol Bagh, Delhi - 110005, Ilahi Bux Road"
Shiv Indian & Chinese Cuisi..,"""07947218447""","B 39, Kalkaji, Delhi - 110019, Near HDFC Bank"
Food Sixteen,"""07947215937""","Plot No-A-16, Gtk Road, Adarsh Nagar, Delhi - 110033, Near Adarsh Nagar Metro Station"
Rai Singh Amritsari Kulcha,"""+(91)-7419333555""","Shop 59 & 60, B Block, MSP Mall, Dsidc, Narela Industrial Area, Delhi - 110040"
La Taj Hospitality Services,"""+(91)-129-4004355""","Scf-151, ,Huda Shopping Complex, Main Market, Faridabad Sector 37, Faridabad - 121001"
Gyano Express,"""07947233405""","Shop Number 190, Devli Road, Khanpur, Delhi - 110062, Infront Of Khazani Education Society"
Food Forest Sweets & Restau..,"""+(91)-9873573333""","619/10, Main Road, Chattarpur, Delhi - 110074, Opposite Tivoli Garden"
Desi Punjabi Dhaba,"""07947233149""","WZ 963, Gurudwara Street, Rani Bagh, Delhi - 110034, Rani Bagh Main Bazar"
Turban Tadkaa,"""+(91)-8800848284""","5-h/55, Nit 5, New Industrial Township 5-Faridabad NIT, Faridabad - 121001, Near Easy Day & Lenskart"
Vaishno Amritsari Naan,"""07947230368""","Shop No 3 Lsc Market, Mayur Vihar Phase 1, Delhi - 110091, Near Jeenvan Hospital"
Punjabi Angithi,"""07947230664""","B20, Metro Station, Sector 16, Sector 16 , Noida, Noida - 201301, Near Sector 16"
Raj Take Away & Family Rest..,"""07947227437""","Shop No 1, Main Matiala Road, Matiala, Delhi - 110059, Near Hari Krishna Grand Banquet"
Kesar Pure Veg,"""+(91)-011-45065500""","G-3, Aggarwal Chamber, Sainik Vihar-Pitampura, Delhi - 110034, Opposite Keshav Mahavidyalaya"
Rudrapriy Restaurant  Roof ..,"""07947230127""","PK- A-2, Sector 122, Noida - 201307"
Madan Sweets & Restaurant,"""07947212173""","Third K 23, Rakesh Marg, Nehru Nagar, Delhi - 110065"
Vaishnav Dhabha,"""+(91)-9999167378""","102/B, Mathura Road, Ashram, Delhi - 110014, Near Ashram Chowk"
Wah Ji Wah Restaurant,"""+(91)-124-4274443""","Shop No-306-7A/6, Opp. Government Girls School, Sadar Bazar, gurgaon - 122001, Sadar Bazar"
Yu Turn Restaurant,"""07947209786""","R-2, YMCA Complex, Greater Noida, Noida - 201310, Opposite Jaypee Resort"
Shiv Indian & Chinese Cuisi..,"""07947218447""","B 39, Kalkaji, Delhi - 110019, Near HDFC Bank"
Rai Singhs Amritsari Kulcha..,"""07947219528""","Plot Number 20, Ishwar Colony, Main Delhi Road, Bawana, Delhi - 110039, Near Dsiidc Office"
Gyano Express,"""07947233405""","Shop Number 190, Devli Road, Khanpur, Delhi - 110062, Infront Of Khazani Education Society"
Rai Singh Amritsari Kulcha,"""+(91)-7419333555""","Shop 59 & 60, B Block, MSP Mall, Dsidc, Narela Industrial Area, Delhi - 110040"
Vrindavan Sweets & Restaura..,"""+(91)-11-26363936""","A-3, Main Suraj Kund Road, Pul Prahladpur, Delhi - 110044, Near Ramleela Ground"
Food Forest Sweets & Restau..,"""+(91)-9873573333""","619/10, Main Road, Chattarpur, Delhi - 110074, Opposite Tivoli Garden"
Mela Restaurant & Bar-Vikas..,"""07947215955""","G-6, Community Center, Vikaspuri, Delhi - 110018, PVR Cinema"
Standard Punjabi Food,"""+(91)-9891040665""","E-93 GF, Main Road, Lajpat Nagar 1, Delhi - 110024"
Yu Turn Restaurant,"""07947209786""","R-2, YMCA Complex, Greater Noida, Noida - 201310, Opposite Jaypee Resort"
Kailash Family Restaurant,"""+(91)-8860677514""","Plot No -1203 Gate No-1, Main Road, Vasundhara Sector 5, Ghaziabad - 201012, Opposite  One Mart Mall"
Kamal Sweets & Restaurant,"""+(91)-9718202002""","C 31 Gurudwara Road, Street No.13, Madhu Vihar-Patparganj, Delhi - 110092"
Kamal Sweets & Restaurant,"""+(91)-9718202002""","C 31 Gurudwara Road, Street No.13, Madhu Vihar-Patparganj, Delhi - 110092"
The Hubbub Cafe & Restauran..,"""+(91)-11-26566219""","Jia Sarai-IIT Delhi, Delhi - 110016, Near Iit Gate Hauz Khas"
Cafe Masala-city Park Resor..,"""+(91)-8802224222""","Ghevra , Mundka, Mundka, Delhi - 110041, Near Ghevra Metro Station"
Family Food Corner,"""+(91)-7557556946""","D-36, Solanki Market, Dwarka More, Delhi - 110059"
Bite N Sip Restaurant,"""+(91)-11-26712409""","UG 58-59, Ansal Chamber 2, Bhikaji Cama Place, Delhi - 110066"
Foji Dhaba,"""+(91)-9350522286""","15B Nagali Razapur, Near Sarai Kale Kha, Nizamuddin, Delhi - 110013, Near Nijamuddin Railway Station"
Billu Chaap Express,"""+(91)-8818040404""","G - 1 , Anand Plaza, Pitampura, Delhi - 110034, Local Shopping Market"
Diners Den,"""+(91)-11-43382828""","30/5 Ground floor, Nagia park, Shakti Nagar, Delhi - 110007"
Veg Daawat,"""+(91)-9643056799""","Shop No. 276, Pocket 6, Rohini Sector 2, Delhi - 110085, Opp. Burger  Junction"
Vaishno Amritsaari Naan,"""+(91)-011-22723189""","G-12, Aggarwal Tower, Patparganj, Delhi - 110092, Near Ajanta Market, Near AVB Public School, IP Extension"
SGF Family Restaurant,"""+(91)-8750505151""","Shop No 4, Orthoplus Hospital Gali, Gopal Nagar, delhi - 110043, Main Khaira Chowk"
Rimjhim Dhaba,"""+(91)-9837333844""","Nh 58, Delhi Meerut Road, Murad Nagar Town, Ghaziabad - 201206, Opposite Abupur Gate"
Apni Rasoi,"""+(91)-9667722201""","KH-137/16/2, A1-Block, Burari, Delhi - 110084, Near Sant Hospital,100 Foota Main Road"
Beni The Zaika Queen,"""+(91)-9599630051""","Shop No 1, Apex The Florus, Vasundhara Sector 18, Ghaziabad - 201012"
Shiv Da Dhaba,"""+(91)-11-40384103""","B-90-B Ground Floor, Main Road Kalkaji, Kalkaji, Delhi - 110019, Near HDFC Bank"
Veg Leaf,"""+(91)-9999185774""","B-5, B Block Market, Sector- 19, Noida - 201301, Near Post Office"
The Hubbub Cafe & Restauran..,"""+(91)-11-26566219""","Jia Sarai-IIT Delhi, Delhi - 110016, Near Iit Gate Hauz Khas"
Family Food Corner,"""+(91)-7557556946""","D-36, Solanki Market, Dwarka More, Delhi - 110059"
Dilli 6,"""+(91)-0120-4222044""","128 Ground Floor, Main Road Near Priyagold Building, Naya Bans Village, Noida - 201301, Near Noida Sector 15"
Happy King Restaurant,"""+(91)-8059046978""","Shop No A21, New Palam Vihar Phase 2, Gurgaon - 122017, Opp. Bajghera Police Station"
Family Food Corner,"""+(91)-7557556946""","D-36, Solanki Market, Dwarka More, Delhi - 110059"
The Hubbub Cafe & Restauran..,"""+(91)-11-26566219""","Jia Sarai-IIT Delhi, Delhi - 110016, Near Iit Gate Hauz Khas"
Jhilmil Dhaba,"""+(91)-7500900027""","National Highway 58, Delhi Meerut Main Road, Murad Nagar, Ghaziabad - 201206, Near Ganga Neher"
Raju Vaishnav Dhaba,"""+(91)-011-26289054""","Shop No.1 DDA Market, Main Road Garhi, East Of Kailash, Delhi - 110065, Opp ISKCON Temple"
Sharma DHABA,"""+(91)-9899164474""","487/110, Khasra Number -487, Peera Garhi, Delhi - 110087, Nearby Ramleela Ground"
Hotel Saravana Bhavan,"""+(91)-11-23345577""","P-13/90, Main Road, Connaught Place, Delhi - 110001, Near Madras Hotel, Outer Circle"
Old Rao Hotel,"""+(91)-9992317800""","National Highway-8, Sidhrawali, Gurgaon - 122413, Near BML  Munjal University"
Hotel Saravana Bhavan,"""+(91)-11-23317755""","50, Janpath, Delhi - 110001, Near Palika Bazaar"
Roshan Di Kulfi,"""+(91)-11-28724230""","Shop No-2816, Ajmal Khan Road, Karol Bagh, Delhi - 110005, Near Gaffar Market"
Haldirams,"""+(91)-11-47685111""","Shop No 1454/2, Ground Floor, Chandni Chowk, Delhi - 110006, Near Fountain"
Apni Rasoi,"""+(91)-9958602508""","D 125 ,126first Floor, Park Hospital Road, Gurgaon Sector 49, Gurgaon - 122018, Opposite Goodearth City Centre Mall, Near Malibutown Residence"
Bikanervala (Weddingz.in Pa..,"""+(91)-0124-4337777""","Plot No 3-4 & 5, Gurgaon Sector 29, Gurgaon - 122002, Near Leisure Valley Park, Dlf City Center"
Singlas,"""07947210897""","A-139/140, Main Road, Madhu Vihar-patparganj, Delhi - 110092, I P Extension"
Imly,"""+(91)-11-25713000""","Shop No- F-20, Rajendra Place, Delhi - 110008, Near Hog Market"
